"Date Made Public","Company","Location","Type of breach","Type of organization","Records Breached","Total Records","Description of incident","Information Source","Source URL"
"May 30, 2013","California Department of Developmental Services","Sacramento, California","PHYS","MED","Unknown","Unknown","Stacks of patient and billing records were left in an unsecured and abandoned office in March of 2012. Credit card and Social Security numbers may have been exposed.","Media",""
"May 30, 2013","California Department of Developmental Services","Santa Monica, California","PORT","MED","18,100","18,100","An employee at North Los Angeles County Regional Center left a work laptop, a personal laptop, and an iPhone in their car overnight. The items were stolen during the night.  The employee worked for a program that served disabled infants and toddlers.  Names, Social Security numbers, and other personal information were on the unencrypted work laptop.  The theft occurred in November and patients were notified in January of 2013. ","Media",""
"May 21, 2013","DENT Neurological Institute","Buffalo, New York","DISC","MED","10,000 (No SSNs or financial information reported)","Unknown","DENT Neurological Institute accidentally emailed the private information of more than 10,000 patients.  No sensitive medical files or Social Security numbers were involved.","Media",""
"May 21, 2013","Erie County Department of Social Services","Buffalo, New York","PHYS","MED","Unknown","Unknown","An audit revealed that several employees had not been following correct protocol for patient record disposal.  Employees had inadvertently exposed Social Security numbers, copies of birth certificates, personal medical records, tax returns, bank account information, inmate records, payroll information, court records, and passports.  Employees should have been using locked disposal totes for shredding and were discarding documents in recycling totes instead.","Media",""
"June 12, 2013","Sentara Virginia Beach General Hospital","Virginia Beach, Virginia","PHYS","MED","Unknown","Unknown","Two men claimed to be from a recycling company and stole over 200 pounds of x-ray film that contained sensitive patient information.  The men transported the x-rays from the hospital without incident by using a moving truck. The breach occurred in 2012 and affected less than 500 patients.","Databreaches.net",""
"June 12, 2013","Lucile Packard Children's Hospital","Palo Alto, California","PORT","MED","12,900 (No SSNs or financial information reported)","Unknown","Between May 2 and May 8, a non-functional laptop computer was stolen from a secured area of the hospital.  The laptop was password protected and contained names, ages, medical record numbers, telephone numbers, scheduled surgical procedures, and names of physicians involved in procedures between 2009 and 2012.  ","PHIPrivacy.net",""
"June 14, 2013","Fayetteville Veterans Affairs Medical Center","Fayetteville, North Carolina","PHYS","MED","1,093","1,093","Optical shop consultation reports were placed in a publicly accessible recycling bin over a period of three months rather than properly disposed.  The documents contained names, Social Security numbers, addresses, dates of birth, and prescriptions.  The issue was discovered on April 17 and most likely started in January of 2013.","PHIPrivacy.net",""
"June 14, 2013","Florida Department of Health","","DISC","MED","3,300 (No Social Security Numbers reported)","Unknown","Information on personal drug prescriptions from the Florida Department of Health somehow ended up in the hands of prosecution lawyers.  Names, addresses, phone numbers, pharmacies, and drug dosages were obtained by lawyers involved in six prescription-drug fraud cases. The American Civil Liberties Union of Florida began an investigation into how the records were exposed.","Media",""
"June 19, 2013","Ephrata Community Hospital","Ephrata, Pennsylvania","INSD","MED","Unknown","Unknown","An employee inappropriately accessed patient information.  The incident or incidents were discovered on April 16. Patient clinical and other medical information may have been exposed. No Social Security numbers were exposed.","Media",""
"May 1, 2013","Lakeshore Mental Health Institute, Middle Tennessee Mental Health Institute","Knoxville, Tennessee","PHYS","MED","Unknown","Unknown","Patient records were found on the floor at an abandoned hospital building named Waterside.  The woman who discovered them was a former Lakeshore employee and she alerted a local news station.  Names, Social Security information, case numbers, dates of birth, and other patient information were exposed.UPDATE (06/27/2013): At least 20 boxes of patient records were found in an abandoned building at the Clover Bottom Campus of the Middle Tennessee Mental Health Institute.  The records dated back to the 1980's and had been reviewed to confirm which had sensitive information that needed to be destroyed.","PHIPrivacy.net",""
"June 25, 2013","Baptist Health South Florida, West Kendall Baptist Hospital","Miami, Florida","INSD","MED","Unknown","Unknown","An employee of West Kendall Baptist Hospital sold patient information to a man who used the information to file fraudulent tax returns.  Patients may have had their names, Social Security numbers, and dates of birth exposed.  The man who purchased and used the information was sentenced to 31 months in federal prison after pleading guilty to possessing 15 or more Social Security numbers.","PHIPrivacy.net",""
"June 21, 2013","North Lincoln Community Health Center Clinic","Lincoln City, Oregon","PHYS","MED","1,000","1,000","An April 17 burglary resulted in the possible exposure of patient information.  Someone entered locked rooms and cabinets in order to take money.  No records or electronic devices were taken; however the room where client medical charts were stored was accessed.  Social Security numbers, health information, and other personal information may have been exposed.","PHIPrivacy.net",""
